,mask,gender,age,mask_label,gender_label,age_label,path,label
180,mask3,female,60,0,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/mask3.jpg,5
181,mask5,female,60,0,1,2,/opt/ml/input/data/train/images/003718_female_Asian_60/mask5.jpg,5
182,normal,female,20,2,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/normal.jpg,15
183,mask1,female,20,0,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/mask1.jpg,3
184,mask2,female,20,0,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/mask2.jpg,3
185,mask4,female,20,0,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/mask4.jpg,3
186,incorrect_mask,female,20,1,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/incorrect_mask.jpg,9
187,mask3,female,20,0,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/mask3.jpg,3
188,mask5,female,20,0,1,0,/opt/ml/input/data/train/images/003050_female_Asian_20/mask5.jpg,3
189,normal,female,23,2,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/normal.jpg,15
190,mask1,female,23,0,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/mask1.jpg,3
191,mask2,female,23,0,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/mask2.jpg,3
192,mask4,female,23,0,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/mask4.jpg,3
193,incorrect_mask,female,23,1,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/incorrect_mask.jpg,9
194,mask3,female,23,0,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/mask3.jpg,3
195,mask5,female,23,0,1,0,/opt/ml/input/data/train/images/001557_female_Asian_23/mask5.jpg,3
196,normal,female,20,2,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/normal.jpg,15
197,mask1,female,20,0,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/mask1.jpg,3
198,mask2,female,20,0,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/mask2.jpg,3
199,mask4,female,20,0,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/mask4.jpg,3
200,incorrect_mask,female,20,1,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/incorrect_mask.jpg,9
201,mask3,female,20,0,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/mask3.jpg,3
202,mask5,female,20,0,1,0,/opt/ml/input/data/train/images/003235_female_Asian_20/mask5.jpg,3
203,normal,female,58,2,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,17
204,mask1,female,58,0,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,5
205,mask2,female,58,0,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,5
206,mask4,female,58,0,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,5
207,incorrect_mask,female,58,1,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,11
208,mask3,female,58,0,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,5
209,mask5,female,58,0,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,5
210,normal,male,18,2,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/normal.jpg,12
211,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/mask1.jpg,0
212,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/mask2.jpg,0
213,mask4,male,18,0,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/mask4.jpg,0
214,incorrect_mask,male,18,1,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/incorrect_mask.jpg,6
215,mask3,male,18,0,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/mask3.jpg,0
216,mask5,male,18,0,0,0,/opt/ml/input/data/train/images/001403_male_Asian_18/mask5.jpg,0
217,normal,female,43,2,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/normal.jpg,16
218,mask1,female,43,0,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/mask1.jpg,4
219,mask2,female,43,0,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/mask2.jpg,4
220,mask4,female,43,0,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/mask4.jpg,4
221,incorrect_mask,female,43,1,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/incorrect_mask.jpg,10
222,mask3,female,43,0,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/mask3.jpg,4
223,mask5,female,43,0,1,1,/opt/ml/input/data/train/images/001451_female_Asian_52/mask5.jpg,4
224,normal,female,23,2,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/normal.jpg,15
225,mask1,female,23,0,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/mask1.jpg,3
226,mask2,female,23,0,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/mask2.jpg,3
227,mask4,female,23,0,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/mask4.jpg,3
228,incorrect_mask,female,23,1,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/incorrect_mask.jpg,9
229,mask3,female,23,0,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/mask3.jpg,3
230,mask5,female,23,0,1,0,/opt/ml/input/data/train/images/001577_female_Asian_25/mask5.jpg,3
231,normal,male,18,2,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/normal.jpg,12
232,mask1,male,18,0,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/mask1.jpg,0
233,mask2,male,18,0,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/mask2.jpg,0
234,mask4,male,18,0,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/mask4.jpg,0
235,incorrect_mask,male,18,1,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/incorrect_mask.jpg,6
236,mask3,male,18,0,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/mask3.jpg,0
237,mask5,male,18,0,0,0,/opt/ml/input/data/train/images/006934_male_Asian_19/mask5.jpg,0
238,normal,female,43,2,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/normal.jpg,16
239,mask1,female,43,0,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/mask1.jpg,4
240,mask2,female,43,0,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/mask2.jpg,4
241,mask4,female,43,0,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/mask4.jpg,4
242,incorrect_mask,female,43,1,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/incorrect_mask.jpg,10
243,mask3,female,43,0,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/mask3.jpg,4
244,mask5,female,43,0,1,1,/opt/ml/input/data/train/images/001461_female_Asian_50/mask5.jpg,4
245,normal,male,23,2,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/normal.jpg,12
246,mask1,male,23,0,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/mask1.jpg,0
247,mask2,male,23,0,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/mask2.jpg,0
248,mask4,male,23,0,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/mask4.jpg,0
249,incorrect_mask,male,23,1,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/incorrect_mask.jpg,6
250,mask3,male,23,0,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/mask3.jpg,0
251,mask5,male,23,0,0,0,/opt/ml/input/data/train/images/001360_male_Asian_26/mask5.jpg,0
252,normal,female,43,2,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/normal.jpg,16
253,mask1,female,43,0,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/mask1.jpg,4
254,mask2,female,43,0,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/mask2.jpg,4
255,mask4,female,43,0,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/mask4.jpg,4
256,incorrect_mask,female,43,1,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/incorrect_mask.jpg,10
257,mask3,female,43,0,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/mask3.jpg,4
258,mask5,female,43,0,1,1,/opt/ml/input/data/train/images/005496_female_Asian_52/mask5.jpg,4
259,mask3,female,18,0,1,0,/opt/ml/input/data/train/images/006176_female_Asian_19/mask3.png,3
260,normal,female,18,2,1,0,/opt/ml/input/data/train/images/006176_female_Asian_19/normal.png,15
261,mask2,female,18,0,1,0,/opt/ml/input/data/train/images/006176_female_Asian_19/mask2.png,3
262,mask1,female,18,0,1,0,/opt/ml/input/data/train/images/006176_female_Asian_19/mask1.png,3
